ARTICLES;NATURE;PRIX
PAIN;PETIT DEJEUNE;100
PAIN;PETIT DEJEUNE;150
1 OEUF SIMPLE;PETIT DEJEUNE;150
1 OEUF SPAGHETTI;PETIT DEJEUNE;250
2 OEUFS SPAGHETTI;PETIT DEJEUNE;400
SARDINE;PETIT DEJEUNE;150
MAYAUNNAISE;PETIT DEJEUNE;100
UNE TASSE DE LAIT SIMPLE/MATINAL/NESCAFE;PETIT DEJEUNE;200
ERU + WATERFUFU NB;PETIT DEJEUNE;500
UNE BOULE;REPAS;300
VIANDE DE BOEUF;REPAS;200
PEAU DE BOEUF;REPAS;100
OKOK + MANIOC/BATON DE MANIOC;REPAS;700
RIZ SAUTE;REPAS;500
RIZ SAUCE TOMATE AVEC VIANDE;REPAS;700
RIZ SAUCE TOMATE AVEC POISSON;REPAS;500
SPAGHETTIS SAUCE TOMATE AVEC VIANDE;REPAS;700
SPAGHETTIS SAUCE TOMATE AVEC POISSON;REPAS;700
NDOLE + PLANTAIN MUR/RIZ POISSON;REPAS;500
NDOLE + PLANTAIN MUR/RIZ VIANDE;REPAS;700
PILE PLANTAIN MÛR/POMMES;REPAS;500
POMMES SAUTE;REPAS;700
EMINCE DE VIANDE + RIZ/PLANTAIN;REPAS;1000
MBONGO + MACABO/MANIOC/RIZ;REPAS;1000
KOKI PLANTAIN MUR/MACABO/BANANE;REPAS;700
HARICOT PLANTAIN MÛR/RIZ/PATATE;REPAS;700
BANANE MALAXE;REPAS;500
RAPE SAUCE D'ARACHIDE AVEC VIANDE;REPAS;700
RAPE SAUCE D'ARACHIDE AVEC POISSON;REPAS;500
COUSCOUS SAUCE GOMBO AVEC VIANDE;REPAS;700
COUSCOUS SAUCE GOMBO AVEC POISSON;REPAS;500
